CONNECTIONS LOG
192.168.1.34>2020-02-24 11:46:42.577957
192.168.1.34>2020-02-24 11:47:46.938424
192.168.1.34>2020-02-24 11:51:58.179317
192.168.1.34>2020-02-24 11:53:44.403701
192.168.1.34>2020-02-24 11:53:56.187904
192.168.1.34>2020-02-24 11:54:46.428065
192.168.1.34>2020-02-24 11:54:56.940117
192.168.1.34>2020-02-24 12:02:19.413788
192.168.1.34>2020-02-24 12:04:18.214372
192.168.1.34>2020-02-24 12:05:18.527015
192.168.1.34>2020-02-24 12:07:24.016015
192.168.1.34>2020-02-24 12:08:22.624668
192.168.1.34>2020-04-04 20:29:15.766776
192.168.1.34>2020-04-04 20:29:41.023779
192.168.1.34>2020-04-04 21:41:37.324211
192.168.1.34>2020-04-04 21:41:54.996478
192.168.1.34>2020-04-05 14:01:41.053173
192.168.1.34>2020-04-05 14:09:01.553252
192.168.1.39>2020-04-06 20:55:10.199411
192.168.1.39>2020-04-06 20:55:22.255067
192.168.1.39>2020-04-06 20:57:39.702665
192.168.1.39>2020-04-06 20:58:44.302002
192.168.1.39>2020-04-08 18:50:21.021104
192.168.1.39>2020-04-08 18:52:27.094779
192.168.1.39>2020-04-08 18:52:55.863066
192.168.1.39>2020-04-08 18:55:50.289647
192.168.1.39>2020-04-09 18:55:00.656604
192.168.1.39>2020-04-09 18:57:22.432856
192.168.1.39>2020-04-09 18:57:54.121137
192.168.1.39>2020-04-09 18:59:58.737432
192.168.1.39>2020-04-09 19:00:06.313402
192.168.1.39>2020-04-09 19:59:23.945020
192.168.1.39>2020-04-09 20:00:03.529380
192.168.1.39>2020-04-09 20:11:25.508665
192.168.1.39>2020-04-09 20:11:33.444769
192.168.1.39>2020-04-09 20:20:11.271322
192.168.1.39>2020-04-09 20:20:25.831326
192.168.1.39>2020-04-09 20:23:05.688212
192.168.1.39>2020-04-09 20:23:18.960361
192.168.1.39>2020-04-09 20:26:13.505386
192.168.1.39>2020-04-09 20:27:03.473636
192.168.1.39>2020-04-09 20:30:32.490527
192.168.1.39>2020-04-09 20:30:46.794504
192.168.1.39>2020-04-09 20:31:58.066871
192.168.1.39>2020-04-09 20:32:06.307189
192.168.1.39>2020-04-09 20:34:03.299521
192.168.1.39>2020-04-09 20:34:12.627744
192.168.1.39>2020-04-09 20:35:42.995963
192.168.1.39>2020-04-09 20:35:58.716240
192.168.1.39>2020-04-09 20:37:21.540552
192.168.1.39>2020-04-09 20:37:51.164709
192.168.1.39>2020-04-09 20:37:57.100661
192.168.1.39>2020-04-09 20:39:01.989062
192.168.1.39>2020-04-09 20:39:08.989161
192.168.1.39>2020-04-09 20:43:40.838247
192.168.1.39>2020-04-09 20:43:53.350535
192.168.1.39>2020-04-09 20:48:07.303928
192.168.1.39>2020-04-09 20:48:15.247951
192.168.1.39>2020-04-09 20:51:29.049055
192.168.1.39>2020-04-09 20:51:35.689182
192.168.1.39>2020-04-09 20:52:38.177584
192.168.1.39>2020-04-09 20:52:44.633462
192.168.1.39>2020-04-09 20:55:13.954324
192.168.1.39>2020-04-09 20:55:20.050423
192.168.1.39>2020-04-09 20:55:55.522472
192.168.1.39>2020-04-09 20:56:02.530631
192.168.1.39>2020-04-10 18:37:08.081337
192.168.1.39>2020-04-10 18:37:31.912126
192.168.1.39>2020-04-10 18:54:07.030807
192.168.1.39>2020-04-11 10:29:38.234201
192.168.1.39>2020-04-11 10:30:04.753048
192.168.1.39>2020-04-11 10:31:08.615099
192.168.1.39>2020-04-11 10:31:47.917575
192.168.1.43>2020-04-11 10:41:09.605720
192.168.1.39>2020-04-11 10:41:53.217760
192.168.1.39>2020-04-11 10:42:48.872015
192.168.1.39>2020-04-11 11:15:14.922114
192.168.1.39>2020-04-11 11:15:28.097861
192.168.1.39>2020-04-11 11:17:47.527728
192.168.1.39>2020-04-11 11:17:58.823238
192.168.1.43>2020-04-11 11:18:35.577500
192.168.1.39>2020-04-11 11:22:27.106698
192.168.1.39>2020-04-11 11:22:41.010164
192.168.1.43>2020-04-11 11:23:01.204689
192.168.1.39>2020-04-11 11:26:02.382461
192.168.1.43>2020-04-11 11:26:27.602230
192.168.1.39>2020-04-13 11:20:40.943834
192.168.1.39>2020-04-13 11:29:38.290379
192.168.1.39>2020-04-13 11:34:05.251060
192.168.1.39>2020-04-13 11:36:02.835676
192.168.1.39>2020-04-13 11:40:11.852797
192.168.1.39>2020-04-13 11:42:36.973200
192.168.1.39>2020-04-13 11:44:13.573943
192.168.1.39>2020-04-13 11:49:42.439332
192.168.1.39>2020-04-13 11:50:22.039893
192.168.1.39>2020-04-13 11:53:54.440821
192.168.1.39>2020-04-13 11:54:21.552937
192.168.1.39>2020-04-13 11:57:18.281755
192.168.1.39>2020-04-13 11:57:32.745939
192.168.1.39>2020-04-13 11:59:47.170625
192.168.1.39>2020-04-13 12:02:00.091853
192.168.1.39>2020-04-13 12:02:12.723267
192.168.1.39>2020-04-13 12:03:10.915508
192.168.1.39>2020-04-13 12:03:27.555410
192.168.1.39>2020-04-13 12:05:52.651113
192.168.1.39>2020-04-13 12:06:41.627277
192.168.1.39>2020-04-13 12:13:29.970921
192.168.1.39>2020-04-13 12:13:44.243107
192.168.1.39>2020-04-13 17:07:34.888257
192.168.1.39>2020-04-13 17:08:09.375822
192.168.1.39>2020-04-13 17:13:35.342466
192.168.1.39>2020-04-13 17:13:54.430968
192.168.1.39>2020-04-13 17:17:29.671931
192.168.1.39>2020-04-13 17:17:43.362910
192.168.1.39>2020-04-13 17:19:31.078177
192.168.1.39>2020-04-13 17:19:41.553076
192.168.1.39>2020-04-13 17:54:01.851149
192.168.1.39>2020-04-13 18:04:52.523928
192.168.1.39>2020-04-13 18:05:17.773058
192.168.1.39>2020-04-13 18:09:02.754931
192.168.1.39>2020-04-13 18:09:16.041680
192.168.1.39>2020-04-13 18:17:09.419555
192.168.1.39>2020-04-13 18:17:29.676065
192.168.1.39>2020-04-13 18:20:03.959750
192.168.1.39>2020-04-13 18:20:56.129368
192.168.1.39>2020-04-13 18:24:01.820843
192.168.1.39>2020-04-13 18:24:35.548364
192.168.1.39>2020-04-13 18:28:14.538371
192.168.1.39>2020-04-13 18:29:25.698373
192.168.1.39>2020-04-13 18:30:42.130835
192.168.1.39>2020-04-13 18:30:55.170066
192.168.1.39>2020-04-13 18:32:53.827944
192.168.1.39>2020-04-13 18:33:40.948525
192.168.1.39>2020-04-13 18:37:00.383641
192.168.1.39>2020-04-13 18:37:15.127819
192.168.1.39>2020-04-13 18:45:42.115287
192.168.1.39>2020-04-13 18:47:02.333322
192.168.1.39>2020-04-13 18:48:12.039423
192.168.1.39>2020-04-14 17:47:11.631865
192.168.1.39>2020-04-14 17:47:29.113489
192.168.1.39>2020-04-14 18:27:25.780370
192.168.1.39>2020-04-14 18:42:35.777551
192.168.1.39>2020-04-14 18:43:48.241824
192.168.1.39>2020-04-14 18:54:02.442936
192.168.1.39>2020-04-14 18:54:58.642972
192.168.1.39>2020-04-14 18:57:09.187274
192.168.1.39>2020-04-14 18:58:21.674925
192.168.1.39>2020-04-14 19:01:36.524429
192.168.1.39>2020-04-14 19:10:10.630434
192.168.1.39>2020-04-14 19:13:18.479098
192.168.1.39>2020-04-14 19:14:39.367355
192.168.1.39>2020-04-14 19:16:11.639900
192.168.1.39>2020-04-14 19:16:46.368044
192.168.1.39>2020-04-14 19:26:05.658667
192.168.1.39>2020-04-14 19:26:57.299223
192.168.1.39>2020-04-14 19:27:45.018483
192.168.1.39>2020-04-14 19:30:29.499925
192.168.1.39>2020-04-14 19:31:05.548216
192.168.1.39>2020-04-14 20:17:09.460365
192.168.1.39>2020-04-14 20:20:52.269486
192.168.1.39>2020-04-14 20:21:42.502138
192.168.1.39>2020-04-15 09:16:14.143574
192.168.1.39>2020-04-15 09:18:10.288253
192.168.1.39>2020-04-15 09:26:32.221771
192.168.1.39>2020-04-15 09:27:16.188134
192.168.1.39>2020-04-15 09:28:05.946070
192.168.1.39>2020-04-15 09:31:31.716854
192.168.1.39>2020-04-15 09:32:13.998916
192.168.1.39>2020-04-15 09:34:10.906455
192.168.1.39>2020-04-15 09:36:22.843222
192.168.1.39>2020-04-15 09:40:26.263528
192.168.1.39>2020-04-15 09:41:14.381998
192.168.1.39>2020-04-15 09:46:13.764866
192.168.1.39>2020-04-15 09:47:01.803188
192.168.1.39>2020-04-15 09:48:03.825415
192.168.1.39>2020-04-15 09:49:22.933825
192.168.1.39>2020-04-15 09:50:27.569181
192.168.1.39>2020-04-15 09:51:07.794855
192.168.1.39>2020-04-15 09:52:04.004666
192.168.1.39>2020-04-15 09:53:21.990985
192.168.1.39>2020-04-15 09:55:08.688993
192.168.1.39>2020-04-15 09:55:31.273185
192.168.1.39>2020-04-15 09:55:42.833627
192.168.1.39>2020-04-15 10:16:17.691628
192.168.1.39>2020-04-15 10:17:35.465660
192.168.1.39>2020-04-15 10:18:52.263806
192.168.1.39>2020-04-15 10:27:15.222367
192.168.1.39>2020-04-15 10:28:38.571232
192.168.1.39>2020-04-15 10:29:22.469404
192.168.1.39>2020-04-15 10:30:17.919713
192.168.1.39>2020-04-15 10:32:35.517186
192.168.1.39>2020-04-15 10:33:56.479486
192.168.1.39>2020-04-15 10:34:48.680677
192.168.1.39>2020-04-15 10:35:36.281935
192.168.1.39>2020-04-15 10:40:51.463008
192.168.1.39>2020-04-15 10:52:09.857595
192.168.1.39>2020-04-15 10:55:33.089525
192.168.1.39>2020-04-15 10:56:09.569888
192.168.1.39>2020-04-15 10:56:36.898756
192.168.1.39>2020-04-15 10:59:14.159344
192.168.1.39>2020-04-15 10:59:55.168247
192.168.1.39>2020-04-15 11:01:14.961988
192.168.1.39>2020-04-15 11:01:58.130905
192.168.1.39>2020-04-15 11:04:12.565078
192.168.1.39>2020-04-15 15:44:38.922434
192.168.1.39>2020-04-15 15:45:07.442584
192.168.1.39>2020-04-15 15:47:35.219475
192.168.1.39>2020-04-15 15:48:04.539843
192.168.1.39>2020-04-15 15:49:18.452445
192.168.1.39>2020-04-15 15:49:34.948416
192.168.1.39>2020-04-15 15:51:49.237337
192.168.1.39>2020-04-15 15:51:59.013377
192.168.1.39>2020-04-15 15:53:12.222106
192.168.1.39>2020-04-15 15:53:23.918026
192.168.1.39>2020-04-15 15:54:03.502344
192.168.1.39>2020-04-15 15:54:12.726491
192.168.1.39>2020-04-15 15:55:44.414383
192.168.1.39>2020-04-15 15:55:57.662425
192.168.1.39>2020-04-15 15:57:33.702625
192.168.1.39>2020-04-15 15:57:43.974639
192.168.1.39>2020-04-15 15:58:24.518786
192.168.1.39>2020-04-15 15:58:34.590667
192.168.1.39>2020-04-15 15:59:33.830922
192.168.1.39>2020-04-15 15:59:47.046817
192.168.1.39>2020-04-15 16:03:04.783621
192.168.1.39>2020-04-15 16:03:12.247724
192.168.1.39>2020-04-15 16:04:36.112131
192.168.1.39>2020-04-15 16:04:46.663987
192.168.1.39>2020-04-15 16:06:35.560638
192.168.1.39>2020-04-15 16:06:45.920613
192.168.1.39>2020-04-15 16:07:49.721148
192.168.1.39>2020-04-15 16:08:00.385188
192.168.1.39>2020-04-15 16:22:03.174369
192.168.1.39>2020-04-15 16:22:10.606386
192.168.1.39>2020-04-15 16:24:26.751489
192.168.1.39>2020-04-16 18:34:35.520577
192.168.1.39>2020-04-16 18:34:56.385096
192.168.1.39>2020-04-16 18:35:23.352216
192.168.1.39>2020-04-16 18:47:12.860882
192.168.1.39>2020-04-16 18:53:18.126896
192.168.1.39>2020-04-16 18:53:49.870494
192.168.1.39>2020-04-16 18:55:54.480150
192.168.1.39>2020-04-16 19:02:15.217289
192.168.1.39>2020-04-16 19:02:41.873989
192.168.1.39>2020-04-16 19:16:32.729500
192.168.1.39>2020-04-16 19:22:21.965528
192.168.1.39>2020-04-16 19:25:50.847217
192.168.1.39>2020-04-16 19:28:56.631989
192.168.1.39>2020-04-16 19:30:31.265070
192.168.1.39>2020-04-16 19:32:40.065420
192.168.1.39>2020-04-17 10:46:56.044061
192.168.1.39>2020-04-17 10:47:20.084830
192.168.1.39>2020-04-17 10:48:30.387128
192.168.1.39>2020-04-17 10:48:42.701273
192.168.1.39>2020-04-17 10:51:11.534434
192.168.1.39>2020-04-17 10:55:59.567002
192.168.1.39>2020-04-17 10:56:14.900258
192.168.1.39>2020-04-17 10:57:59.391141
192.168.1.39>2020-04-17 10:58:19.534849
192.168.1.39>2020-04-17 10:59:56.551618
192.168.1.39>2020-04-17 11:00:09.487646
192.168.1.39>2020-04-17 11:06:06.737189
192.168.1.39>2020-04-17 11:06:13.816886
192.168.1.39>2020-04-17 11:09:29.913096
192.168.1.39>2020-04-17 11:09:40.458368
192.168.1.39>2020-04-17 11:17:31.532832
192.168.1.39>2020-04-17 11:17:51.508950
192.168.1.39>2020-04-17 11:21:04.294617
192.168.1.39>2020-04-17 11:21:32.669141
192.168.1.39>2020-04-17 11:23:57.375246
192.168.1.39>2020-04-17 11:24:21.902476
192.168.1.39>2020-04-17 11:29:18.584968
192.168.1.39>2020-04-17 11:29:29.031993
192.168.1.39>2020-04-17 12:44:54.827465
192.168.1.39>2020-04-17 12:46:22.916132
192.168.1.39>2020-04-17 12:48:33.437093
192.168.1.39>2020-04-17 12:48:45.972741
192.168.1.39>2020-04-17 12:50:06.629277
192.168.1.39>2020-04-17 12:50:18.116646
192.168.1.39>2020-04-17 12:52:05.718150
192.168.1.39>2020-04-17 12:52:15.069719
192.168.1.39>2020-04-17 12:56:33.383753
192.168.1.39>2020-04-17 12:56:43.935593
192.168.1.39>2020-04-17 13:14:42.612749
192.168.1.39>2020-04-17 13:14:55.293210
192.168.1.39>2020-04-17 13:17:09.038250
192.168.1.39>2020-04-17 13:17:18.606615
192.168.1.39>2020-04-17 13:19:38.703062
192.168.1.39>2020-04-17 13:27:02.064738
192.168.1.39>2020-04-17 13:27:23.176865
192.168.1.39>2020-04-17 13:31:06.947616
192.168.1.39>2020-04-17 13:31:21.297985
192.168.1.39>2020-04-17 13:33:22.850529
192.168.1.39>2020-04-17 13:33:58.730386
192.168.1.39>2020-04-17 13:34:47.171399
192.168.1.39>2020-04-17 13:37:24.427786
192.168.1.39>2020-04-17 13:37:42.507852
192.168.1.39>2020-04-17 15:52:24.012971
192.168.1.39>2020-04-17 16:12:13.013903
192.168.1.39>2020-04-17 16:12:32.279306
192.168.1.39>2020-04-17 16:40:00.798159
192.168.1.39>2020-04-17 21:51:00.010716
192.168.1.39>2020-04-18 17:34:02.193979
192.168.1.39>2020-04-18 17:34:53.127120
192.168.1.39>2020-04-18 17:36:36.849218
192.168.1.39>2020-04-18 17:37:58.788781
192.168.1.39>2020-04-18 17:41:00.189009
192.168.1.39>2020-04-18 17:42:41.062331
192.168.1.39>2020-04-18 17:46:24.648444
192.168.1.39>2020-04-18 17:47:29.304628
192.168.1.39>2020-04-18 17:50:46.881537
192.168.1.39>2020-04-18 17:56:33.434716
192.168.1.39>2020-04-18 17:58:08.386900
192.168.1.39>2020-04-18 17:59:28.978184
192.168.1.39>2020-04-18 18:01:07.308087
192.168.1.39>2020-04-18 18:01:29.340602
192.168.1.39>2020-04-18 18:08:43.717897
192.168.1.39>2020-04-18 18:08:57.766282
192.168.1.39>2020-04-18 18:11:33.245536
192.168.1.39>2020-04-18 18:11:43.582882
192.168.1.39>2020-04-18 18:13:58.743645
192.168.1.39>2020-04-18 18:14:13.607983
192.168.1.39>2020-04-18 18:16:29.825045
192.168.1.39>2020-04-18 18:16:41.270698
192.168.1.39>2020-04-18 18:19:45.770431
192.168.1.39>2020-04-18 18:19:56.194107
192.168.1.39>2020-04-18 18:23:05.306841
192.168.1.39>2020-04-18 18:23:29.851595
192.168.1.39>2020-04-18 18:26:36.852653
192.168.1.39>2020-04-18 18:27:02.948617
192.168.1.39>2020-04-18 18:28:53.620006
192.168.1.39>2020-04-18 18:29:40.773325
192.168.1.39>2020-04-18 18:35:04.726627
192.168.1.39>2020-04-18 18:35:59.440686
192.168.1.39>2020-04-18 18:37:00.822684
192.168.1.39>2020-04-18 18:40:00.951728
192.168.1.39>2020-04-18 18:44:17.782890
192.168.1.39>2020-04-18 18:45:03.592849
192.168.1.39>2020-04-18 18:45:25.721044
192.168.1.39>2020-04-18 18:49:14.830073
192.168.1.39>2020-04-18 18:49:42.632163
192.168.1.39>2020-04-18 18:51:17.769166
192.168.1.39>2020-04-18 18:51:28.903046
192.168.1.39>2020-04-18 18:52:28.009022
192.168.1.39>2020-04-18 18:52:40.497073
192.168.1.39>2020-04-18 18:57:44.769532
192.168.1.39>2020-04-18 18:57:57.121804
192.168.1.39>2020-04-18 19:00:00.705942
192.168.1.39>2020-04-18 19:00:09.914004
192.168.1.39>2020-04-18 19:04:06.401943
192.168.1.39>2020-04-18 19:04:16.111423
192.168.1.39>2020-04-18 19:05:30.586960
192.168.1.39>2020-04-18 19:05:39.858934
192.168.1.39>2020-04-18 19:10:27.787217
192.168.1.39>2020-04-18 19:11:12.179553
192.168.1.39>2020-04-18 19:11:19.819777
192.168.1.39>2020-04-18 20:15:35.443308
192.168.1.39>2020-04-18 20:15:46.819007
192.168.1.39>2020-04-19 11:40:51.878687
192.168.1.39>2020-04-19 11:42:32.814846
192.168.1.39>2020-04-19 11:45:02.542279
192.168.1.39>2020-04-19 12:13:17.176095
192.168.1.39>2020-04-19 18:14:03.161700
192.168.1.39>2020-04-19 18:14:41.810340
192.168.1.39>2020-04-19 18:15:22.913662
192.168.1.39>2020-04-19 18:15:57.688875
192.168.1.39>2020-04-19 18:16:26.697157
192.168.1.39>2020-04-19 18:17:41.344906
192.168.1.39>2020-04-19 18:19:27.569890
192.168.1.39>2020-04-19 18:21:14.224080
192.168.1.39>2020-04-19 18:22:03.585693
192.168.1.39>2020-04-19 18:28:07.503894
192.168.1.39>2020-04-20 19:48:31.780561
192.168.1.39>2020-04-20 19:49:08.773084
192.168.1.39>2020-04-20 19:50:34.773144
192.168.1.39>2020-04-20 19:51:58.486826
192.168.1.39>2020-04-20 20:26:24.363843
192.168.1.39>2020-04-20 20:27:09.068021
192.168.1.39>2020-04-20 20:27:39.396516
192.168.1.39>2020-04-20 20:28:01.132568
192.168.56.1>2020-04-25 09:58:36.239540
192.168.56.1>2020-04-25 12:11:46.669539
192.168.56.1>2020-04-25 12:13:01.364983
192.168.56.1>2020-04-25 12:13:52.916639
192.168.56.1>2020-04-25 12:15:35.180039
192.168.56.1>2020-04-25 12:16:56.587936
192.168.56.1>2020-04-25 12:18:30.433920
192.168.56.1>2020-04-25 12:19:16.353928
192.168.56.1>2020-04-25 12:21:12.448162
192.168.56.1>2020-04-25 12:22:05.296546
192.168.56.1>2020-04-25 12:22:56.471742
192.168.1.39>2020-04-25 21:35:04.947770
192.168.1.39>2020-04-25 21:37:16.796586
192.168.1.39>2020-04-25 21:39:27.349994
192.168.1.39>2020-04-25 21:39:38.278028
192.168.1.39>2020-04-25 21:41:28.702823
192.168.1.39>2020-04-25 21:42:31.944308
192.168.1.39>2020-04-25 21:49:51.675895
192.168.1.39>2020-04-25 21:51:40.116862
192.168.1.39>2020-04-25 21:52:41.373377
192.168.1.39>2020-04-25 21:54:21.286186
192.168.1.39>2020-04-25 21:56:37.054430
192.168.1.39>2020-04-25 21:57:39.110931
192.168.1.39>2020-04-25 21:58:51.255620
192.168.1.39>2020-04-25 22:00:04.584153
192.168.1.39>2020-04-25 22:03:53.817065
192.168.1.39>2020-04-25 22:06:26.449783
192.168.1.39>2020-04-25 22:08:51.362977
192.168.1.39>2020-04-25 22:09:56.404034
192.168.1.39>2020-04-25 22:10:46.939981
192.168.1.39>2020-04-25 22:11:58.404581
192.168.1.39>2020-04-25 22:14:40.820459
192.168.1.39>2020-04-25 22:16:06.308190
192.168.1.39>2020-04-25 22:18:40.638145
192.168.1.39>2020-04-25 22:19:09.341205
192.168.1.39>2020-04-25 22:21:29.126036
192.168.1.39>2020-04-25 22:22:04.709568
192.168.1.39>2020-04-25 22:22:16.069758
192.168.1.39>2020-04-25 22:24:57.790216
